LABEL,POSITION_T,Mean ch1
Label,T,Mean ch1
,(sec),(counts)
ID5389,291.0,274.04761904761904
ID6405,291.0,519.0
ID7619,291.0,331.57142857142856
ID9279,291.0,263.42857142857144
ID2913,292.0,392.9047619047619
ID3928,292.0,487.3809523809524
ID5393,292.0,276.2857142857143
ID6407,292.0,531.1428571428571
ID7623,292.0,323.04761904761904
ID9283,292.0,242.57142857142858
ID2915,293.0,389.3809523809524
ID3931,293.0,499.6666666666667
ID5397,293.0,266.04761904761904
ID6409,293.0,527.2380952380952
ID7627,293.0,322.3333333333333
ID9286,293.0,247.52380952380952
ID2917,294.0,401.6666666666667
ID3933,294.0,483.85714285714283
ID5401,294.0,272.6666666666667
ID6411,294.0,523.1904761904761
ID7631,294.0,329.4761904761905
ID9292,294.0,257.3809523809524
ID2919,295.0,384.04761904761904
ID3936,295.0,485.57142857142856
ID5405,295.0,271.0952380952381
ID6414,295.0,526.2857142857143
ID7633,295.0,334.5238095238095
ID9296,295.0,250.0
ID2921,296.0,396.95238095238096
ID3938,296.0,497.76190476190476
ID5409,296.0,274.76190476190476
ID6416,296.0,530.047619047619
ID7637,296.0,338.0
ID9299,296.0,255.38095238095238
ID2923,297.0,379.5238095238095
ID3940,297.0,473.4761904761905
ID5413,297.0,268.85714285714283
ID6419,297.0,521.0952380952381
ID7641,297.0,337.85714285714283
ID9305,297.0,243.0
ID2925,298.0,390.9047619047619
ID3942,298.0,477.5238095238095
ID5417,298.0,276.23809523809524
ID6421,298.0,520.1904761904761
ID7644,298.0,334.95238095238096
ID9311,298.0,262.1904761904762
ID2927,299.0,388.5238095238095
